title,time,fake or real
هذه الصورة لرجل أمريكي يرتدي ملابس سانتا كلوز، وليس الشيخ عادل الكلباني,28 ديسمبر 2021,fake
الأرانب تلد ولا تبيض وصور هذا البيض لا تعود للأرانب,19 ديسمبر 2021,real
هذه المقاطع قديمة، ولا تظهر احتفال فلسطينيين بفوز منتخب الجزائر على المغرب في كأس العرب,13 ديسمبر 2021,fake
لا، لم يصرح الدكتور أنتوني فاوتشي أن لقاحات كوفيد_19 لم تعمل كما هو معلن عنها,7 ديسمبر 2021,fake
هذه الصورة قديمة التقطت في مطار في فيتنام، وليست لموظفي الخطوط الجوية الجزائرية,26 نوفمبر 2021,fake
هذه المشاهد قديمة نشرت عام 2017، ولا علاقة لها بمقتل الشاب المغربي “يوسف بجاج”,20 نوفمبر 2021,fake
صورة هذه الطائرة المسيرة قديمة ولا علاقة لها بمحاولة اغتيال رئيس الوزراء العراقي مؤخرا,12 نوفمبر 2021,fake
هذه الصورة المتداولة قديمة، ولاعلاقة لها بالمظاهرات الرافضة لإلزامية جواز التلقيح في المغرب,4 نوفمبر 2021,fake
هذه الصور المتداولة قديمة ولا يعود أيّ منها إلى السيول التي تشهدها تونس حاليا,27 أكتوبر 2021,fake
هذه تصاميم مستقبلية لمشروع في أربيل في العراق وليس في ولاية سطيف الجزائرية,22 أكتوبر 2021,fake
هذه المشاهد المتداولة قديمة ومعظمها يعود لإعصار “فاني” الذي ضرب الهند عام 2019,12 أكتوبر 2021,fake
هذا المقطع قديم وليس له علاقة بإعصار شاهين في سلطنة عمان,5 أكتوبر 2021,fake
هذه الصورة تعود لتصميم معماري رقمي وليس مسجد في اليابان,30 سبتمبر 2021,fake
لا صحة لخبر فرض رسوم على متلقي المكالمة في مصر,23 سبتمبر 2021,fake
هذه الصورة قديمة ومفبركة ولا تظهر وجبات مجانية مقدمة للفقراء في مدينة الكوت,14 سبتمبر 2021,fake
الترجمة التي يوفرها هذا المقطع لخطاب الرئيس الصيني مفبركة ولا أساس لها من الصحة.,8 سبتمبر 2021,fake
هذه الصور تعود لمطار في مدينة تشينغداو الصينية وليس لمطار الموصل,30 أغسطس 2021,fake
لا صحة للمعلومات المنسوبة لناسا حول اصطدام كويكب معدني بالأرض سيجعل سكانها أغنياء,23 أغسطس 2021,fake
هذه الصورة لا تعود إلى حرائق الجزائر الأخيرة بل إلى حرائق تركيا,16 أغسطس 2021,fake
هذه مشاهد قديمة تُظهر سقوط شاب من علوّ في الهند، وليس من وادي القلط,11 أغسطس 2021,fake
هذا المقطع يظهر التقاء نهر في كندا مع مضيق جورجيا، وليس المحيط الأطلسي مع الهادئ,4 أغسطس 2021,fake
هذه صورة مفبركة لرئيس مجلس الوزراء العراقي مع الفنانة المعروفة باسم “عصفورة بغداد”,29 يوليو 2021,fake
هذا المقطع يعود إلى انهيارات طينية في اليابان وليس فيضان في تركيا,24 يوليو 2021,fake
قصة الأنمي الشهير سالي خيالية وليست حقيقية وصورة هذه الطفلة لا تعود لها,16 يوليو 2021,fake
هذه الصورة تعود إلى حرائق سوريا عام 2020 وليس لها علاقة بحرائق الجزائر الأخيرة,10 يوليو 2021,fake
الظاهر في الصورة هو قوس النصر أحد معالم مدينة باريس وليس مدينة روما,28 يونيو 2021,fake
هذا ليس حادث سير حقيقي، إنما مشاهد تم تصميمها بتقينة ثلاثية الأبعاد,21 يونيو 2021,fake
هذه الصورة مأخوذة من اغنية إسبانية وليست لحظة اعدام الشاعر غارسيا لوركا,17 يونيو 2021,fake
هذه الصور معدلة، وتعود لطفلة ولدت بدون أسنان كاملة في أمريكا وليس رومانيا,12 يونيو 2021,fake
هذه الصورة قديمة وتعود إلى حادث سير في الفلبين وليس لمقاطعة شركة كوكاكولا في ماليزيا,2 يونيو 2021,fake
هذه الصورة المتداولة قديمة وتعود لعام 2018 لقدم جندي في مشاة البحرية الأمريكية,23 مايو 2021,fake
صورة الممثلة العالمية كريستين ستيوارت بالوشاح الفلسطيني مفبركة,19 مايو 2021,fake
هذا المقطع قديم ويعود إلى مطاردة سريعة في أمريكا وليس في اللد,14 مايو 2021,fake
بعض هذه الصور قديمة وتعود لاحتفالات سابقة في الهند لا علاقة لها بوباء كورونا,8 مايو 2021,fake
هذه الصورة قديمة والتقطت لنيزك في الهند وليس لها علاقة بسوريا,30 أبريل 2021,fake
الباحثة المصرية إلهام فضالي تنفي خبر ترشيحها لجائزة نوبل في الفيزياء,28 أبريل 2021,fake
فيديو سقوط المطعم المعلق في البحرين مفبرك ولا علاقة له بالبحرين,23 أبريل 2021,fake
هذه الصور للملكة اليزابيث وهي تبكي قديمة ولا علاقة لها بوفاة الأمير فيليب,13 أبريل 2021,fake
هذه الصورة التقطت لمبنى في سياتل أمريكا وليس لها علاقة باليابان,4 أبريل 2021,fake
فيديو زائف ينصح بعدم تلقّي لقاح كورونا ويدّعي بأنه يصنع من بقايا أجنة مجهضة,27 مارس 2021,fake
هذه عملة ورقية تذكارية وليست حقيقية وغير صالحة للتداول,23 مارس 2021,fake
هذا الفيديو يحتوي على ادعاءات زائفة بأن اللقاحات غير آمنة وبأنه يسبب متلازمة جيلان باريه,15 مارس 2021,fake
تونس الدولة الوحيدة في إفريقيا التي لم يصلها اللقاح ضمن آلية كوفاكس – خبر زائف,7 مارس 2021,fake
لقاح كورونا لا يحتوي على مواد خطيرة تغير الحمض النووي للبشر أو تسبب العقم,27 فبراير 2021,fake
صورة الاخطبوط مع الغواص مفبركة وتم تركيبها لتظهر بهذا الشكل,23 فبراير 2021,fake
لم تنشر جامعة جون هوبكنز هذا التقرير بخصوص جائحة كورونا بل نُشر في مجلة طلابية وتم سحبه لاحقاً,15 فبراير 2021,fake
لم يتم تطبيق المسحة الشرجية لفحص حالات كوفيد-19 في مطارات مصر,7 فبراير 2021,fake
لم تَدُر أحداث فيلم ” أنا أسطورة ” للممثل الأمريكي ويل سميت في عام 2021,29 يناير 2021,fake
لا وجود لعقد شرعي وقانوني يدعى زواج التجربة ولم يدخل حيز التنفيذ في مصر,22 يناير 2021,fake
هذه الصورة تعود لنفق بين الولايات المتحدة والمكسيك ولا علاقة لها بمصر,12 يناير 2021,fake
خبر وفاة الفنان الشاب خالد غير صحيح وهو على قيد الحياة في دبي,5 يناير 2021,fake
هذه الصور ليست في حديقة البلفيدير في تونس وتعود للسودان وألبانيا,28 ديسمبر 2020,fake
مقطع الفيديو تم تصويره من قبل كاميرا المراقبة لجريمة قتل في البرازيل,21 ديسمبر 2020,fake
مقطع قطار الثعبان ليس حقيقي ويعود للعبة إلكترونية لمحاكاة القطار,11 ديسمبر 2020,fake
هذه الصورة قديمة وتعود إلى دبابة عراقية في حرب الخليج عام 1991,21 نوفمبر 2020,fake
هذا المقطع لا يظهر دونالد ترامب بل ممثلا أمريكيا يقلد هيئته في برنامج American’s GT,15 نوفمبر 2020,real
لاعب كرة القدم الفرنسي بول بوغبا لم يعلن اعتزاله بسبب تصريحات الرئيس الفرنسي,27 أكتوبر 2020,fake
هذه الصورة ليست للطفلين اللذين غرقا بعد أن ألقت بهما أمهما في نهر دجلة في العراق,20 أكتوبر 2020,fake
الشابة التي تظهر في الصورة أوكرانية الجنسية وليست من سوريا,11 أكتوبر 2020,fake
صور ابن يحاول إنقاذ جدته بالتنفس من الفم للفم في المكسيك وليس مصر.,2 أكتوبر 2020,fake
هذا المقطع قديم ويعود لعام 2013 وليس له علاقة في مظاهرات حديثة في مصر,26 سبتمبر 2020,fake
Remdesivir ليس لقاحا تجريبيا ضد كورونا بل هو دواء مضاد للفيروسات يُسوّق فعليا في البلدان المتقدمة,19 سبتمبر 2020,fake
هذا المقطع عبارة عن محاكاة ثلاثية الأبعاد وليس هبوطا اضطراريا قامت به مضيفة طيران.,12 سبتمبر 2020,fake
كشف سر فيروس كورونا روحيًا وطاقيًا وأسرار الكائنات الفضائية القادمة – زائف,4 سبتمبر 2020,fake
فلاديمير بوتين لم ينشر صورة له حاملًا إبرة تعبر عن لقاح فيروس كورونا – ساخر,18 أغسطس 2020,real
مسلسل سيمبسون لم يتنبأ باللقاح الروسي,13 أغسطس 2020,fake
استخدم الأذن اليسرى فقط عند استعمال الهاتف لحماية الدماغ – زائف,4 أغسطس 2020,fake
الزبيب يميع الدم ويمنع تجلطه وتخثره لذا يُمكن استخدامه في كورونا.. زائف,28 يوليو 2020,fake
لبس الصدرية واستخدام مزيل العرق تحت الإبط والنوم على البطن تسبب سرطان الثدي.. زائف,19 يوليو 2020,fake
حفرة مشتعلة بالنيران منذ 40 عامًا ولم تنطفئ حتى الآن في تركمانستان – صحيح,11 يوليو 2020,real
خيوط النياط عبارة عن أوتار موجودة في القلب تتمزّق عند الحزن (صور)- زائف جزئيًّا,5 يوليو 2020,fake
استنشاق القرنفل بعد غليه يقتل الفيروس الموجود في الرئتين.. زائف,26 يونيو 2020,fake
اكتشاف فيروس جديد أكثر عدوى من فيروس كورونا في بكين.. زائف جزئيا,20 يونيو 2020,fake
انفجار ضخم في الليل يهز الولايات المتحدة الأمريكية – عنوان مضلل,13 يونيو 2020,fake
الصابون في أمريكا للبيض فقط ( فيديو).. زائف جزئيا,31 مايو 2020,fake
فيديو لسيدة تدعي أنه لا يوجد شيء يدعى كورونا وما هو إلا مؤامرة من بيل جيتس – زائف,23 مايو 2020,fake
اكتشاف مومياء في الصين عمرها نحو 1950 عامًا- خبر زائف,16 مايو 2020,fake
السحاب يهبط على ارتفاع منخفض ويسقط فوق المدن والقرى اليمنية … عنوان مضلل,10 مايو 2020,fake
قصة زائفة: نجم بوليوود عامر خان تبرع 15 ألف روبية مخزنة في كيلو طحين!,4 مايو 2020,fake
ثقب الأوزون التاريخي قد أغلق بسبب الحجر الصحي – زائف جزئيًا,28 أبريل 2020,fake
البروفيسور الفرنسي “راوولت” يتوقع نهاية كورونا في فصل الربيع – رأي شخصي,24 أبريل 2020,real
استنشاق زيت النعناع وزيت القرنفل في ماء ساخن يقتل فيروس كورونا الجديد – خبر زائف,18 أبريل 2020,fake
صرّحت منظمة الصحة العالمية بأن الجزائر خارج دائرة خطر فيروس كورونا – تصريح زائف,12 أبريل 2020,fake
زائف: الطيور تسقط بكثرة في شوراع روما بسبب غازات كورونا السامة !,6 أبريل 2020,fake
مصرع 59 شخص في كينيا بعد أن أمرهم كاهن كنيسة بشرب الديتول للوقاية من كورونا.. عنوان مضلل,1 أبريل 2020,fake
500 أسد تتجول في شوارع روسيا لتطبيق منع التجول بسبب كورونا …ما الحقيقة ؟,23 مارس 2020,fake
كتاب صدر قبل اربعين سنه يتحدث عن فيروس كورونا.. ما الحقيقة؟,17 مارس 2020,fake
حلق شعر الممرضات في الصين بالإجبار وذلك لانتقال كورونا من خلاله، ما صحة ذلك؟,2 مارس 2020,fake
فيديو سوق حيوانات غريبة بالصين.. ما الحقيقة؟,19 فبراير 2020,fake
“ووهان جيايو” هتافات تشجيعية وليست صرخات ذعر وعويل!,29 يناير 2020,fake
فأر يمشي على صاروخ تابع لوكالة ناسا خلال إطلاقه نحو محطة الفضاء الدولية – مضلل,15 يناير 2020,fake
ما حقيقة مساج الدماغ بسائل النخاع الشوكي عند الركوع والسجود بالصلاة,7 ديسمبر 2019,fake
طفلة يتيمة سورية صاحبة أحزن وجه في العالم – زائف,22 أكتوبر 2019,fake
هذا الفيلم لم يصنف كأجمل فيل في العالم بل هو شخصيّة من فيلم كرتوني,18 سبتمبر 2019,fake
صورة مدهشة لجبل فوجي باليابان -زائف,14 أغسطس 2019,fake
أرنولد شوارزنيجر ينام أمام فندق رفض استقباله … خبر مضلل,1 يوليو 2019,fake
حرمان هواوي من خدمات جوجل – زائف جزئياً,21 مايو 2019,fake
الصين تبتكر بصمة متحركة – زائف,20 أبريل 2019,fake
صورة حشرة الشيطان القاتلة – زائف,29 مارس 2019,fake
أول رجل في العالم يعيش بدون قلب ولا نبض – خبر صحيح !,23 فبراير 2019,real
حقيقة(فيديو)مقاول ينسى عامل ويصب عليه الأسمنت!!,20 يناير 2019,fake
لماذا لا يتم دفن الضبع الا بوجود الشرطة او الدرك ومحضر قضائي؟.. خبر زائف جزئيا,29 ديسمبر 2018,fake
لم يكن سائق هذه الحافلة امرأة بل رجل من موزمبيق,27 نوفمبر 2018,fake
ما حقيقة (فيديو) مادة كيميائية عند خلطها بالماء تتحول إلى حليب؟,26 أكتوبر 2018,fake
ما حقيقة (فيديو) دبور مقطوع الرأس يحاول البحث عن رأسه المفقودة؟,16 سبتمبر 2018,fake
ما حقيقة ولادة خنزير على شكل بشر؟,28 يوليو 2018,fake
ما حقيقة العثور على مخلوق غريب بوادي في السعودية؟,22 يونيو 2018,fake
ما تفسير ظاهرة ياني ولورال؟,20 مايو 2018,real
العلاجات الطبيعية للسرطان؛ عندما تستخدم آلام لناس لخداعهم.,24 مارس 2018,real
ماحقيقة ارتفاع سيارتين في الهواء نتيجة فقدان الجاذبية؟,9 فبراير 2018,fake
(خرافة) : “السيارة الشبح” تسبب حادثاً غريبا في سنغافورة!,22 أكتوبر 2017,real
ليست جمجمة لقوم عاد، بل هي عمل فني مشارك في مسابقة لتعديل الصور,9 نوفمبر 2016,fake
تعمد لاعب الجودو محمد رشوان الخسارة أمام الياباني فأسلم 3000 ياباني.. ما الحقيقة؟,5 نوفمبر 2016,fake
يُستخرج المسك من أنثى الغزال بعد أن تلد وتتخلص من هذه الحويصلات..ما الحقيقة,5 نوفمبر 2016,fake
